partition,node,degree centrality,closeness centrality,betweenness centrality,eigenvector centrality,harmonic centrality,total centrality score
8,1travela,0.00042158516020236085,0.019534564060742776,0.0,8.440317955588076e-06,0.0424866531318141,0.06245124267071483
9,22rdw,0.00042158516020236085,0.00033585222502099076,0.0,3.129970129270594e-83,0.0006451612903225806,0.0014025986755459323
9,nicholas_mee,0.0008431703204047217,0.0005037783375314861,1.2692827854156869e-07,4.4264462066371434e-83,0.0008602150537634409,0.00220729063997819
10,2500_b_c,0.00042158516020236085,0.005731186143265502,0.0,2.0139105582584356e-25,0.00989247311827957,0.016045244421747436
10,hka_2017,0.01897133220910624,0.011335012594458438,0.000125658995756153,1.3509722726611281e-24,0.01935483870967742,0.04978684250899825
8,250eventsrwanda,0.00042158516020236085,0.019534564060742776,0.0,8.440317955588076e-06,0.0424866531318141,0.06245124267071483
11,250ketty,0.00042158516020236085,0.0015770452305333478,0.0,1.1847791255722683e-52,0.002795698924731183,0.004794329315466892
11,ali_naka,0.00505902192242833,0.003022670025188917,8.377266383743534e-06,4.1041952824763926e-52,0.005161290322580645,0.013251359536581636
12,2emkay,0.00042158516020236085,0.002709344473797383,0.0,1.6435465756254436e-41,0.004731182795698925,0.007862112429698668
12,theroyaldutch_,0.00885328836424958,0.005289672544080605,2.6654938493729425e-05,7.531676590989057e-41,0.00903225806451613,0.023201873911340043
13,2s_a_party,0.00042158516020236085,0.0022059384779787804,0.0,8.604293077296524e-46,0.003870967741935484,0.006498491380116625
13,risefallnickbck,0.007166947723440135,0.0042821158690176326,1.726224588165334e-05,3.5476409191464375e-45,0.007311827956989247,0.01877815379532867
14,30secfightsvids,0.00042158516020236085,0.010094880936094189,0.0,0.04923826768607719,0.01942652329749104,0.07918125707986479
14,torres_samar,0.03204047217537943,0.015642067985136045,0.0003990451993330728,0.5592215541605371,0.03512544802867375,0.6424285875490594
15,350montana,0.00042158516020236085,0.0014513614009835673,0.0,2.5125702496167356e-54,0.0025806451612903226,0.0044535917224762505
15,mzjacobson,0.00463743676222597,0.0027707808564231737,6.981055319786278e-06,8.333252777388322e-54,0.004731182795698925,0.012146381469667854
16,36e8b731552549d,0.00042158516020236085,0.01779671273849782,0.0,1.3077933677224355e-08,0.034240404756533664,0.05245871573316753
16,sufiy,0.0042158516020236085,0.020441907200176183,0.0009523428738973899,1.4216341008643882e-07,0.04208006808006809,0.06769031191957535
17,3_40pm,0.00042158516020236085,0.0009494284053478008,0.0,9.745932212315845e-63,0.0017204301075268817,0.0030914436730770435
17,macnyanda,0.002951096121416526,0.0017632241813602015,2.6654938493729424e-06,2.578531292828128e-62,0.003010752688172043,0.007727738484798143
18,3drenderbot,0.00042158516020236085,0.00025188916876574307,0.0,1.457320883984418e-92,0.00043010752688172043,0.0011035818558498244
18,dreamer3dn,0.00042158516020236085,0.00025188916876574307,0.0,1.457320883984418e-92,0.00043010752688172043,0.0011035818558498244
19,4343_6937,0.00042158516020236085,0.0005757466714645555,0.0,1.945858444153165e-72,0.001075268817204301,0.0020726006488712176
19,tweetlikeacar,0.0016863406408094434,0.0010075566750629723,7.615696712494121e-07,3.89171688830633e-72,0.0017204301075268817,0.004415088993070547
20,4freedom4ever,0.00042158516020236085,0.0021650473791531726,0.0,6.6937123502519684e-49,0.003942652329749104,0.006529284869104638
20,zimrico,0.005902192242833052,0.0037888329135180522,1.9800811452484714e-05,2.5510806358949463e-48,0.0070967741935483875,0.01680760016135198
1,4maticx250d,0.0008431703204047217,0.02187642700369732,0.0001378441104961436,8.493098091217216e-07,0.042232555974491395,0.0650908467188987
1,daimler,0.007588532883642495,0.025978257066890567,0.0017654771583043142,9.153608124484018e-06,0.05395598069791639,0.08929740141487824
1,mashele333,0.0008431703204047217,0.018883740624090064,6.904898352661336e-05,7.879675423607742e-08,0.03538353283514608,0.05517957155992171
10,56perumal,0.00042158516020236085,0.005731186143265502,0.0,2.0139105582584356e-25,0.00989247311827957,0.016045244421747436
21,5h4k3el,0.00042158516020236085,0.009573403087256993,0.0,2.7384659200570055e-13,0.016594982078853047,0.026589970326586245
21,mac123_m,0.03204047217537943,0.018668136020151136,0.0003710113581770053,2.418751564322708e-12,0.03261648745519713,0.08369610701132345
14,60secfightz,0.0012647554806070826,0.014297274809943352,2.9852377219535635e-05,0.09145741512287218,0.024731182795698924,0.13178048058634106
14,exquisitbeautyy,0.0054806070826306915,0.010258758873368445,9.115181239446558e-05,0.04968641966091528,0.019928315412186398,0.08544525284149529
14,kaiia_brown,0.031197301854974706,0.016987622220416564,0.0005123459963330418,0.42981577151006545,0.037419354838709604,0.5159323964204994
22,75es15,0.00042158516020236085,0.019803435773595772,0.0,9.839800256853923e-08,0.03806819345529011,0.05829331278709081
22,allafrica,0.007588532883642495,0.023134625959383065,0.0012899720948179626,1.0696334708647128e-06,0.0483954754922497,0.08040967606356408
23,76ercule,0.00042158516020236085,0.003915731623540187,0.0,1.8121962172259516e-26,0.007240143369175627,0.011577460152918174
23,reutersbiz,0.002951096121416526,0.005348940583790191,4.0743977411843545e-05,1.2304441804407124e-25,0.010465949820788523,0.01880673050340708
14,7ensions,0.00042158516020236085,0.010094880936094189,0.0,0.04923826768607719,0.01942652329749104,0.07918125707986479
24,7ombiequeen,0.00042158516020236085,0.00025188916876574307,0.0,1.457320883984418e-92,0.00043010752688172043,0.0011035818558498244
24,chris_dewiborg,0.00042158516020236085,0.00025188916876574307,0.0,1.457320883984418e-92,0.00043010752688172043,0.0011035818558498244
25,7seventyjsp,0.0008431703204047217,0.0014426379665674375,4.8232745845796104e-06,6.858939421415284e-59,0.003397849462365592,0.005688481023922331
25,fullychargedshw,0.002529510961214165,0.0018210348102572574,1.8531528667069028e-05,1.7818187144724448e-58,0.004602150537634408,0.008971227837772898
25,greenfleetnews,0.0008431703204047217,0.001169296036059923,2.538565570831374e-06,2.5975434320127056e-59,0.002798771121351768,0.004813776043387244
26,852852hk,0.00042158516020236085,0.0030869821533844252,0.0,9.206378591414794e-39,0.005376344086021506,0.008884911399608291
26,kpconservative,0.01011804384485666,0.006045340050377834,3.503220487747296e-05,4.510185985569837e-38,0.01032258064516129,0.026520996745273258
14,8bitporn,0.00042158516020236085,0.010638712905715424,0.0,0.037844363930284064,0.020286738351254482,0.06919140034745633
27,9b3or2qditmbdcd,0.00042158516020236085,0.01849169064573525,0.0,2.15169303577754e-08,0.040081162565033336,0.0589944598879013
27,businessinsider,0.021922428330522766,0.021364186280024226,0.0033596646047167815,2.3389935059706351e-07,0.05621319660029327,0.10285970971490764
27,_______imaan,0.00042158516020236085,0.01849169064573525,0.0,2.15169303577754e-08,0.040081162565033336,0.0589944598879013
28,___misskam,0.00042158516020236085,0.00233177401943145,0.0,1.2140883819522232e-44,0.0040860215053763445,0.006839380685010155
28,reutersplus,0.007588532883642495,0.004534005037783375,1.942002661686001e-05,5.150940767029326e-44,0.007741935483870968,0.0198838934319137
29,___randl___,0.00042158516020236085,0.007690370083317187,0.0,8.349270274793885e-20,0.01340501792114695,0.021516973164666497
29,nelsonchamisa,0.024451939291736932,0.014702178100459328,0.0002459870038135601,6.367351415027521e-19,0.026021505376344085,0.06542160977235391
0,__muhdadam,0.00042158516020236085,0.015508507111889357,0.0,1.9531957114861107e-07,0.03044444444444446,0.04637473203610733
11,__nissya,0.00042158516020236085,0.0015770452305333478,0.0,1.1847791255722683e-52,0.002795698924731183,0.004794329315466892
30,_abba_one_,0.00042158516020236085,0.0015770452305333478,0.0,1.1847791255722683e-52,0.002795698924731183,0.004794329315466892
30,bashdangaladima,0.00505902192242833,0.003022670025188917,8.377266383743534e-06,4.1041952824763926e-52,0.005161290322580645,0.013251359536581636
28,_carryone,0.00042158516020236085,0.00233177401943145,0.0,1.2140883819522232e-44,0.0040860215053763445,0.006839380685010155
31,_dizzzz,0.00042158516020236085,0.014141655637621143,0.0,6.294200670393769e-09,0.027290322580645163,0.04185356967266934
31,hbomaxnews,0.02951096121416526,0.020399943340333678,0.0013930378569937164,6.326921604779514e-08,0.04615770609318975,0.09746171177389845
32,_floppster_,0.00042158516020236085,0.00033585222502099076,0.0,3.129970129270594e-83,0.0006451612903225806,0.0014025986755459323
32,yort_121,0.0008431703204047217,0.0005037783375314861,1.2692827854156869e-07,4.4264462066371434e-83,0.0008602150537634409,0.00220729063997819
33,_gemgoddess,0.00042158516020236085,0.0014513614009835673,0.0,2.5125702496167356e-54,0.0025806451612903226,0.0044535917224762505
33,fireox9,0.00463743676222597,0.0027707808564231737,6.981055319786278e-06,8.333252777388322e-54,0.004731182795698925,0.012146381469667854
14,_jeepsdaily,0.0008431703204047217,0.013445522268074389,4.905201018910983e-06,0.08708263161636126,0.023799283154121866,0.12517551255998116
34,_lechristy_,0.00042158516020236085,0.0013257324671881213,0.0,1.1182386746147336e-43,0.0023655913978494624,0.004112909025239944
34,otunbakush1,0.0054806070826306915,0.0025188916876574307,5.711772534370591e-06,4.874289377404484e-43,0.004301075268817204,0.012306285811639697
35,_marrkkkk,0.00042158516020236085,0.00025188916876574307,0.0,1.457320883984418e-92,0.00043010752688172043,0.0011035818558498244
35,shadyassosc,0.00042158516020236085,0.00025188916876574307,0.0,1.457320883984418e-92,0.00043010752688172043,0.0011035818558498244
27,_mb01,0.00042158516020236085,0.01849169064573525,0.0,2.15169303577754e-08,0.040081162565033336,0.0589944598879013
36,_p1per_,0.00042158516020236085,0.00033585222502099076,0.0,3.129970129270594e-83,0.0006451612903225806,0.0014025986755459323
36,davicaut0s,0.0008431703204047217,0.0005037783375314861,1.2692827854156869e-07,4.4264462066371434e-83,0.0008602150537634409,0.00220729063997819
37,_pandulana,0.00042158516020236085,0.0004534005037783375,0.0,4.347229514472984e-77,0.0008602150537634409,0.0017352007177441392
37,baas_barry,0.0012647554806070826,0.0007556675062972292,3.8078483562470603e-07,7.52962239123019e-77,0.0012903225806451613,0.003311126352385098
7,_rixchy,0.00042158516020236085,0.0018285287806698385,0.0,1.1992547272495122e-49,0.0032258064516129032,0.005475920392485102
10,_sahil_garg,0.00042158516020236085,0.005731186143265502,0.0,2.0139105582584356e-25,0.00989247311827957,0.016045244421747436
38,_taymiee_,0.00042158516020236085,0.00025188916876574307,0.0,1.457320883984418e-92,0.00043010752688172043,0.0011035818558498244
38,m_ruwa,0.00042158516020236085,0.00025188916876574307,0.0,1.457320883984418e-92,0.00043010752688172043,0.0011035818558498244
27,_thabang_m,0.00042158516020236085,0.01849169064573525,0.0,2.15169303577754e-08,0.040081162565033336,0.0589944598879013
10,a31x64vijay,0.00042158516020236085,0.005731186143265502,0.0,2.0139105582584356e-25,0.00989247311827957,0.016045244421747436
39,a_alok,0.00042158516020236085,0.00025188916876574307,0.0,1.457320883984418e-92,0.00043010752688172043,0.0011035818558498244
39,anupamsinghal,0.00042158516020236085,0.00025188916876574307,0.0,1.457320883984418e-92,0.00043010752688172043,0.0011035818558498244
40,a_dresing,0.00042158516020236085,0.00025188916876574307,0.0,1.457320883984418e-92,0.00043010752688172043,0.0011035818558498244
40,eu_easme,0.00042158516020236085,0.00025188916876574307,0.0,1.457320883984418e-92,0.00043010752688172043,0.0011035818558498244
27,a_s_mailafiya,0.00042158516020236085,0.01849169064573525,0.0,2.15169303577754e-08,0.040081162565033336,0.0589944598879013
8,aaam_africa,0.0008431703204047217,0.025987280428150343,0.0027581514927082877,0.0007258315308516953,0.06197475523281981,0.09228918900493485
41,hallaboutafrica,0.049747048903878585,0.030537706266385647,0.01152775318542381,0.007798386481306166,0.0902031063321382,0.18981400116913238
42,aabullet,0.00042158516020236085,0.00025188916876574307,0.0,1.457320883984418e-92,0.00043010752688172043,0.0011035818558498244
42,manmustwack,0.00042158516020236085,0.00025188916876574307,0.0,1.457320883984418e-92,0.00043010752688172043,0.0011035818558498244
43,aaluyaprince,0.00042158516020236085,0.001299928031666067,0.0,2.9116435764133407e-53,0.002616487455197133,0.004338000647065561
43,olushola_shola,0.0021079258010118043,0.0018198992443324937,7.361840155410983e-06,1.0144917898115999e-52,0.0039426523297491035,0.007877839215248813
0,aaronjpruden,0.00042158516020236085,0.015508507111889357,0.0,1.9531957114861107e-07,0.03044444444444446,0.04637473203610733
6,aasambo01,0.00042158516020236085,0.010264874759453665,0.0,1.9490957840488577e-12,0.01763440860215054,0.02832086852375566
20,ab5cd3f533d140e,0.00042158516020236085,0.0021650473791531726,0.0,6.6937123502519684e-49,0.003942652329749104,0.006529284869104638
44,abagyenzire,0.00042158516020236085,0.00025188916876574307,0.0,1.457320883984418e-92,0.00043010752688172043,0.0011035818558498244
44,pmldailynews_ug,0.00042158516020236085,0.00025188916876574307,0.0,1.457320883984418e-92,0.00043010752688172043,0.0011035818558498244
45,abdulntaganda,0.00042158516020236085,0.00025188916876574307,0.0,1.457320883984418e-92,0.00043010752688172043,0.0011035818558498244
45,charleshaba,0.00042158516020236085,0.00025188916876574307,0.0,1.457320883984418e-92,0.00043010752688172043,0.0011035818558498244
41,abdutoit,0.00042158516020236085,0.02498910499420335,0.0,0.0007173912128961072,0.05720619404490386,0.08333427541220567
6,abella24737526,0.00042158516020236085,0.010264874759453665,0.0,1.9490957840488577e-12,0.01763440860215054,0.02832086852375566
0,abhinavpoonia,0.00042158516020236085,0.009374805422692667,0.0,1.9921944151075743e-09,0.017226318484382972,0.027022711059472418
0,upwork,0.0012647554806070826,0.011768091433281344,4.582110855350629e-05,2.002551059796324e-08,0.022387096774193635,0.035465784822146164
46,abledoc,0.00042158516020236085,0.0007556675062972292,0.0,7.227434635602332e-68,0.0014336917562724014,0.0026109444227719915
46,teslahistorian,0.0021079258010118043,0.00129543001079525,1.7769958995819615e-06,1.6538145585663157e-67,0.0023655913978494624,0.005770724205556098
47,aboolkadirr_x,0.00042158516020236085,0.0006996921354603975,0.0,1.1392956925124714e-68,0.0012903225806451613,0.00241159987630792
47,catchincruises,0.0021079258010118043,0.0012594458438287153,1.269282785415687e-06,2.547542614930584e-68,0.002150537634408602,0.005519178562034537
48,abpolitical,0.00042158516020236085,0.00025188916876574307,0.0,1.457320883984418e-92,0.00043010752688172043,0.0011035818558498244
48,craig_jasman,0.00042158516020236085,0.00025188916876574307,0.0,1.457320883984418e-92,0.00043010752688172043,0.0011035818558498244
31,abrahalliver,0.00042158516020236085,0.014141655637621143,0.0,6.294200670393769e-09,0.027290322580645163,0.04185356967266934
41,ace_222_leo,0.00042158516020236085,0.02498910499420335,0.0,0.0007173912128961072,0.05720619404490386,0.08333427541220567
30,ackroydalthea,0.00042158516020236085,0.0015770452305333478,0.0,1.1847791255722683e-52,0.002795698924731183,0.004794329315466892
14,acommonfemaie,0.00042158516020236085,0.010094880936094189,0.0,0.04923826768607719,0.01942652329749104,0.07918125707986479
49,acraig733,0.00042158516020236085,0.014578601004022767,0.0,2.6753123250998243e-10,0.028630914485753445,0.0436311009175098
49,bbc_topgear,0.005902192242833052,0.016307188394212038,0.0008202105359356169,2.9081927815962067e-09,0.034892664086212805,0.0579222581673863
50,adahn6,0.00042158516020236085,0.007620176534089706,0.0,4.024455028848108e-19,0.013118279569892474,0.02116004126418454
50,jennyenicholson,0.025295109612141653,0.015113350125944584,0.00022466305301857656,3.117329460858394e-18,0.025806451612903226,0.06643957440400804
51,adam_kaseem,0.00042158516020236085,0.0012001778041191287,0.0,4.035649412154401e-58,0.002150537634408602,0.0037723005987300917
51,rare_review,0.0037942664418212477,0.0022670025188916876,4.569418027496472e-06,1.21069482364632e-57,0.003870967741935484,0.009936806120675917
41,adammstonny,0.00042158516020236085,0.02498910499420335,0.0,0.0007173912128961072,0.05720619404490386,0.08333427541220567
12,ade_colline,0.00042158516020236085,0.002709344473797383,0.0,1.6435465756254436e-41,0.004731182795698925,0.007862112429698668
52,adhaliwal,0.00042158516020236085,0.0009494284053478008,0.0,9.745932212315845e-63,0.0017204301075268817,0.0030914436730770435
52,john_westra,0.002951096121416526,0.0017632241813602015,2.6654938493729424e-06,2.578531292828128e-62,0.003010752688172043,0.007727738484798143
1,adilg,0.00042158516020236085,0.02702940041641793,0.0,9.85458504535005e-06,0.05270660522273458,0.08016744538440021
1,electrekco,0.01812816188870152,0.03364090843194462,0.013225069858151306,0.00010712406482690487,0.07371804062126522,0.13881930486488958
29,admiern,0.00042158516020236085,0.007690370083317187,0.0,8.349270274793885e-20,0.01340501792114695,0.021516973164666497
23,adongoa,0.00042158516020236085,0.005973634374597804,0.0,6.598557374621597e-25,0.01111111111111111,0.017506330645911276
23,reuters,0.01854974704890388,0.01010355443604814,0.0001892500633054789,4.4802855472989635e-24,0.02078853046594983,0.04963108201420732
14,adorabieanimal,0.0008431703204047217,0.013445522268074389,4.905201018910983e-06,0.08708263161636126,0.023799283154121866,0.12517551255998116
31,adorsey1705,0.00042158516020236085,0.014141655637621143,0.0,6.294200670393769e-09,0.027290322580645163,0.04185356967266934
53,adrinnenberg,0.00042158516020236085,0.0010747271200671703,0.0,2.6478617726768436e-60,0.001935483870967742,0.003431796151237273
53,davidamccormick,0.003372681281618887,0.0020151133501259445,3.553991799163923e-06,7.489284060417715e-60,0.0034408602150537634,0.008832208838597758
21,adsellars,0.00042158516020236085,0.009573403087256993,0.0,2.7384659200570055e-13,0.016594982078853047,0.026589970326586245
28,adusco_,0.00042158516020236085,0.00233177401943145,0.0,1.2140883819522232e-44,0.0040860215053763445,0.006839380685010155
54,adwoa_single,0.00042158516020236085,0.0006996921354603975,0.0,1.1392956925124714e-68,0.0012903225806451613,0.00241159987630792
54,thisiskubilive,0.0021079258010118043,0.0012594458438287153,1.269282785415687e-06,2.547542614930584e-68,0.002150537634408602,0.005519178562034537
55,afreximresearch,0.00042158516020236085,0.0005757466714645555,0.0,1.945858444153165e-72,0.001075268817204301,0.0020726006488712176
55,fofackhippolyte,0.0016863406408094434,0.0010075566750629723,7.615696712494121e-07,3.89171688830633e-72,0.0017204301075268817,0.004415088993070547
41,africanbizmag,0.00042158516020236085,0.02498910499420335,0.0,0.0007173912128961072,0.05720619404490386,0.08333427541220567
29,africaupdates,0.002951096121416526,0.008331234256926952,3.807848356247061e-05,9.680905834340384e-20,0.014838709677419355,0.0261591185393253
51,afzanmimi,0.00042158516020236085,0.0012001778041191287,0.0,4.035649412154401e-58,0.002150537634408602,0.0037723005987300917
4,ag25121993,0.00042158516020236085,0.016243460779992364,0.0,1.6576470325665354e-09,0.03143230365811013,0.04809735125595189
4,afmusk,0.00505902192242833,0.018418852868696413,0.0009932560890139558,1.8019418104320427e-08,0.038525055589572095,0.0629962044891289
1,agrwal_amit,0.00042158516020236085,0.016850761340685774,0.0,8.044205555018608e-09,0.03166249043668395,0.048934844981777637
1,jaguarusa,0.0016863406408094434,0.019203639720904733,0.0002662955283802111,8.744437166967621e-08,0.03769177656274459,0.05884813989721064
28,agunbiadeayoku1,0.00042158516020236085,0.00233177401943145,0.0,1.2140883819522232e-44,0.0040860215053763445,0.006839380685010155
30,ahalilu1,0.00042158516020236085,0.0015770452305333478,0.0,1.1847791255722683e-52,0.002795698924731183,0.004794329315466892
43,ahanatioceans,0.00042158516020236085,0.001733237375554756,0.0,2.0789295114800117e-52,0.0033691756272401434,0.00552399816299726
43,enahorojude,0.00505902192242833,0.00279984499128076,1.535832170352981e-05,7.24352712014126e-52,0.005949820788530467,0.013824046023943087
56,aharbert,0.00042158516020236085,0.00025188916876574307,0.0,1.457320883984418e-92,0.00043010752688172043,0.0011035818558498244
56,quakobjinn,0.00042158516020236085,0.00025188916876574307,0.0,1.457320883984418e-92,0.00043010752688172043,0.0011035818558498244
6,ahmed24985637,0.00042158516020236085,0.010264874759453665,0.0,1.9490957840488577e-12,0.01763440860215054,0.02832086852375566
6,ahned5nageb5,0.00042158516020236085,0.010264874759453665,0.0,1.9490957840488577e-12,0.01763440860215054,0.02832086852375566
57,aijtaylor,0.00042158516020236085,0.0009494284053478008,0.0,9.745932212315845e-63,0.0017204301075268817,0.0030914436730770435
57,nyctaxinews,0.002951096121416526,0.0017632241813602015,2.6654938493729424e-06,2.578531292828128e-62,0.003010752688172043,0.007727738484798143
14,aimostdied,0.0008431703204047217,0.013445522268074389,4.905201018910983e-06,0.08708263161636126,0.023799283154121866,0.12517551255998116
27,ajanlekoko,0.00042158516020236085,0.01849169064573525,0.0,2.15169303577754e-08,0.040081162565033336,0.0589944598879013
58,ajieeth8,0.00042158516020236085,0.00082436455232425,0.0,1.7161829442975239e-65,0.0015053763440860215,0.0027513260566126322
58,dezeen,0.002529510961214165,0.0015113350125944584,1.9039241781235304e-06,4.203772518796219e-65,0.0025806451612903226,0.00662339505927707
59,ajwite,0.00042158516020236085,0.00025188916876574307,0.0,1.457320883984418e-92,0.00043010752688172043,0.0011035818558498244
59,timcbarton,0.00042158516020236085,0.00025188916876574307,0.0,1.457320883984418e-92,0.00043010752688172043,0.0011035818558498244
60,akageruka,0.00042158516020236085,0.00033585222502099076,0.0,3.129970129270594e-83,0.0006451612903225806,0.0014025986755459323
60,louikan,0.0008431703204047217,0.0005037783375314861,1.2692827854156869e-07,4.4264462066371434e-83,0.0008602150537634409,0.00220729063997819
8,akayitana,0.00042158516020236085,0.019534564060742776,0.0,8.440317955588076e-06,0.0424866531318141,0.06245124267071483
15,akmholst,0.00042158516020236085,0.0014513614009835673,0.0,2.5125702496167356e-54,0.0025806451612903226,0.0044535917224762505
10,akmohanty07,0.00042158516020236085,0.005731186143265502,0.0,2.0139105582584356e-25,0.00989247311827957,0.016045244421747436
41,akokoken,0.00042158516020236085,0.02498910499420335,0.0,0.0007173912128961072,0.05720619404490386,0.08333427541220567
61,akolmiyenkuol,0.00042158516020236085,0.01737918242802435,0.0,7.915262592285477e-07,0.03648258074064562,0.05428413985513156
61,ehategeka,0.0054806070826306915,0.019892948777624257,0.001506130953174254,8.604269968425774e-06,0.04639960756089765,0.07328789864429529
10,aktkadmin,0.00042158516020236085,0.005731186143265502,0.0,2.0139105582584356e-25,0.00989247311827957,0.016045244421747436
62,al1mrt,0.00042158516020236085,0.0005757466714645555,0.0,1.945858444153165e-72,0.001075268817204301,0.0020726006488712176
62,symbiofcell,0.0016863406408094434,0.0010075566750629723,7.615696712494121e-07,3.89171688830633e-72,0.0017204301075268817,0.004415088993070547
50,alanaesea,0.00042158516020236085,0.007620176534089706,0.0,4.024455028848108e-19,0.013118279569892474,0.02116004126418454
63,alandail,0.00042158516020236085,0.00025188916876574307,0.0,1.457320883984418e-92,0.00043010752688172043,0.0011035818558498244
63,aukehoekstra,0.00042158516020236085,0.00025188916876574307,0.0,1.457320883984418e-92,0.00043010752688172043,0.0011035818558498244
23,albertaraujo___,0.00042158516020236085,0.005973634374597804,0.0,6.598557374621597e-25,0.01111111111111111,0.017506330645911276
64,albertyjenner,0.00042158516020236085,0.00025188916876574307,0.0,1.457320883984418e-92,0.00043010752688172043,0.0011035818558498244
64,dailycarlife,0.00042158516020236085,0.00025188916876574307,0.0,1.457320883984418e-92,0.00043010752688172043,0.0011035818558498244
4,alcocan,0.0012647554806070826,0.0277306821173628,0.0014449726776303165,1.002958291509604e-05,0.054941628264209216,0.08539206812272451
4,alpsoy66,0.0012647554806070826,0.023872808025732238,0.0010231900080366672,9.389021411980162e-07,0.04611624695495673,0.07227793937147392
23,alecy44gm,0.00042158516020236085,0.005973634374597804,0.0,6.598557374621597e-25,0.01111111111111111,0.017506330645911276
6,alejandromorc14,0.00042158516020236085,0.010264874759453665,0.0,1.9490957840488577e-12,0.01763440860215054,0.02832086852375566
23,alex_dix,0.00042158516020236085,0.005973634374597804,0.0,6.598557374621597e-25,0.01111111111111111,0.017506330645911276
1,alexandru_89,0.00042158516020236085,0.023571953482244747,0.0,1.411058798091936e-06,0.04696373877019066,0.07095868847143587
0,alexbowdown,0.00042158516020236085,0.015508507111889357,0.0,1.9531957114861107e-07,0.03044444444444446,0.04637473203610733
62,alexgignoux,0.00042158516020236085,0.0005757466714645555,0.0,1.945858444153165e-72,0.001075268817204301,0.0020726006488712176
65,alexis__cari,0.00042158516020236085,0.00025188916876574307,0.0,1.457320883984418e-92,0.00043010752688172043,0.0011035818558498244
65,momstrosityy,0.00042158516020236085,0.00025188916876574307,0.0,1.457320883984418e-92,0.00043010752688172043,0.0011035818558498244
66,alexnagoogin,0.00042158516020236085,0.0006996921354603975,0.0,1.1392956925124714e-68,0.0012903225806451613,0.00241159987630792
66,lcvoters,0.0021079258010118043,0.0012594458438287153,1.269282785415687e-06,2.547542614930584e-68,0.002150537634408602,0.005519178562034537
31,alfernus,0.00042158516020236085,0.014141655637621143,0.0,6.294200670393769e-09,0.027290322580645163,0.04185356967266934
27,alfio2k,0.00042158516020236085,0.01849169064573525,0.0,2.15169303577754e-08,0.040081162565033336,0.0589944598879013
8,alfredmuchilwa,0.00042158516020236085,0.019534564060742776,0.0,8.440317955588076e-06,0.0424866531318141,0.06245124267071483
25,algorithmpeople,0.00042158516020236085,0.0009659402037016756,0.0,8.726806977766635e-60,0.002173067076292883,0.0035605924401969193
43,alhabiodun,0.00042158516020236085,0.001299928031666067,0.0,2.9116435764133407e-53,0.002616487455197133,0.004338000647065561
