id,name,screen_name,location,description,url,followers_count,friends_count,listed_count,created_at,statuses_count,,,
3313931967,24M Technologies,24m_tech,"Cambridge, MA",Industry experts reinventing the lithium-ion battery to enable ultra-low cost energy storage � powered by semisolid lithium-ion technology.,http://t.co/v2KeDiDm7h,999,272,69,Mon Jun 08 22:00:39 +0000 2015,1613,,,
8.30E+17,Steve Forster (Cllr),cllrstevef,"Fleet, England","Hampshire County Councillor @hantsconnect; Development Manager @engenieUK EV Rapid charging (Views are personal, not official council comment)",https://t.co/FQKb6NBb4w,368,394,1,Thu Feb 09 08:01:39 +0000 2017,922,,,
346661261,Cindy Walas,steedmrspeel,Chicago,"Guitarist (retired), motorcyclist, graphic arts professional, #interactiveprint geek, and avid reader of classic British mysteries.",,2010,1502,508,Mon Aug 01 16:47:59 +0000 2011,119114,,,
359386962,Bevan Matabula,bevan46,,,,84,717,0,Sun Aug 21 14:08:46 +0000 2011,356,,,
8.91E+17,Renegade Giana,gianarenegade,"Antalya, T�rkiye","I will never surrender and keep in mind, my RTs are an endorsement!",,1737,821,4,Fri Jul 28 02:02:38 +0000 2017,41679,,,
1.01E+18,xxxtentacion,itsxxxwords,,remembering X | Parody Account we do not own content. DM or email xxx@umsocials.com,,73365,46,147,Tue Jun 26 14:44:36 +0000 2018,1709,,,
1.06E+18,Satisfying Loops,satisfyingloops,Satisfaction Paradise,Only the most satisfying video loops. Original Account.,,48865,73,152,Thu Nov 08 02:05:33 +0000 2018,188,,,
8.93E+17,carsbazr,carsbazr,Lagos,We sell verified used cars at affordable prices!,https://t.co/iWjmkGxM0g,1747,326,1,Thu Aug 03 09:15:06 +0000 2017,1302,,,
23974310,Mercedes and JC,mercedesintheam,"Las Vegas, NV ",Mercedes in the Morning Show on @Mix941 and on the https://t.co/l1OXiAlqFc app M-F 5a-10a | With @MercedesLV and @JCtheProducer | IG: mercedesintheam,https://t.co/TvOBL26744,18774,7794,173,Thu Mar 12 16:08:14 +0000 2009,40851,,,
25555552,Mix 94.1,mix941,"Las Vegas, NV",Vegas' best music mix lives here! Home of @MercedesLV @heather_red @shawntempesta @nudiaonair. Listen on the @radiodotcom app https://t.co/DNx33XZTwg,https://t.co/izvix8IVGv,18547,3642,284,Fri Mar 20 19:04:17 +0000 2009,40451,,,
27175786,michael evan gatto,nojokepro,"Los Angeles, CA",sane rational citizen.,https://t.co/onwBd1UCYc,1713,49,15,Sat Mar 28 04:08:30 +0000 2009,13649,,,
20096544,Barry Burmaster,ru4osu,"Rockwall, TX",,,523,355,2,Wed Feb 04 21:33:45 +0000 2009,47653,,,
1.11E+18,flocky,flocky14385685,,J.U.N.G.L.E,,22,30,0,Wed Apr 03 11:09:11 +0000 2019,92,,,
8.46E+17,TotaIIyamazings,totaiiyamazings,worldwide,stop focusing on how stressed you are remembers how blessd you are...,,284953,138,636,Sun Mar 26 16:46:52 +0000 2017,4660,,,
1.12E+18,PowerEV,powerev_uk,"Doncaster, England","Electric Vehicle Charging Company, based in Doncaster.",,57,231,0,Thu May 02 08:38:35 +0000 2019,140,,,
303914963,Henry K. B.,henryk_b_,USA,,,1401,2459,58,Mon May 23 16:40:20 +0000 2011,81322,,,
33627421,Lilly K Kuster,lillykk,Coral Gables Fl. LA. Austria,,,10404,9493,319,Mon Apr 20 19:20:49 +0000 2009,19600,,,
7.14E+17,Saul of United,viatcheslavsos3,Jerusalem ,"Don't hate the player, hate the game : Religion, History and Geopolitics. Questions and Answers. Middle East",,2561,1763,52,Sat Mar 26 14:24:13 +0000 2016,94341,,,
1462336507,Triode,triode_,,,,76,57,36,Mon May 27 14:54:56 +0000 2013,2589,,,
237897110,Ruth Aylett,ruthaylett,Edinburgh,"Into AI, synthetic characters, affective computing, socialism, science and stories and poems",http://t.co/XmEk0DNivP,531,205,25,Thu Jan 13 22:10:06 +0000 2011,3356,,,
8.93E+17,carsbazr,carsbazr,Lagos,We sell verified used cars at affordable prices!,https://t.co/iWjmkGxM0g,1747,326,1,Thu Aug 03 09:15:06 +0000 2017,1309,,,
256676266,Mike Higgins #FBPE,strolltoitaly,"Fraserburgh, Scotland",,,1585,1801,26,Wed Feb 23 21:19:16 +0000 2011,30652,,,
69941209,BikeBikeYYC,bikebikeyyc,"Calgary, Alberta",Everyday Adventure Outfitters ~ Family Owned and Operated ~ 403-457-2453 ~ info@bikebike.ca,https://t.co/rf1hJB3eFH,8600,770,336,Sat Aug 29 19:25:19 +0000 2009,61074,,,
1.06E+18,KTN News Alerts,ktnnewske,Kenya,Find all breaking news stories here,https://t.co/LRgFU1srx8,20103,32,21,Thu Nov 01 07:49:23 +0000 2018,28420,,,
3165624988,Alejandro L'Bas.,princeof_gotham,Venezuela,"Movie. Series. Comics.
Architecture. Design.
Mi trabajo de dise�o/ilustraci�n, s�gueme en: @ItsMeABastard",https://t.co/84ZjdzcoSd,1153,298,18,Tue Apr 14 02:43:47 +0000 2015,42475,,,
35748736,Oddly Pleasing,oddlypieasing,Washington DC,The most pleasing videos brought to your timeline.,https://t.co/CAi6ptigio,93939,67,567,Mon Apr 27 14:05:59 +0000 2009,92,,,
9.38E+17,OLUBENX,olubenx10,Lagos ,"A Poet with sure words. A journalist /Content writer, a believer of d Gospel of Christ, a subscriber of progressive politics & a #dieHard Manchester United fan.",https://t.co/rwp2aYEftE,316,820,0,Wed Dec 06 15:59:06 +0000 2017,5325,,,
7.05E+17,Iam_stephen,mon_stev,"Lagos, Nigeria","MANI Volunteer,JW",,766,1590,0,Thu Mar 03 12:14:51 +0000 2016,4217,,,
1.13E+18,Kathy777,kathy77711,,,,6,47,0,Sun May 12 16:49:52 +0000 2019,265,,,
2349488580,Zanetti Cartoons,zanetticartoons,,Drawing Conclusions,https://t.co/0AHt2hSCzv,6589,1139,79,Tue Feb 18 03:44:12 +0000 2014,9321,,,
217141897,Patrick Sirois,psirois,"Quebec, Canada","Passionate about product strategy.  http://t.co/U65KvvzgH5
 #innovation #designthinking #voiceofcustomer #productmanagement",http://www.triode.ca,423,356,54,Thu Nov 18 18:06:05 +0000 2010,4351,,,
7.05E+17,Iam_stephen,mon_stev,"Lagos, Nigeria","MANI Volunteer,JW",,766,1590,0,Thu Mar 03 12:14:51 +0000 2016,4222,,,
2293864124,HighSchoolConfession,hsconfessionai,,"*Parody* See what teens REALLY do on weekends... (All tweets are user-submitted, not our own material) �original account�",,242785,160,138,Thu Jan 16 04:57:19 +0000 2014,2555,,,
7.31E+17,Donald Martin,dondatamartin,"Ohio, USA","Enthusiastically offering remarkable business #voice, #data, #cloud, #Mobiity #Wireless #EdgeTechnology solutions to businesses with integrity,& passion",,212,498,18,Thu May 12 16:39:47 +0000 2016,2719,,,
7.31E+17,Donald Martin,dondatamartin,"Ohio, USA","Enthusiastically offering remarkable business #voice, #data, #cloud, #Mobiity #Wireless #EdgeTechnology solutions to businesses with integrity,& passion",,212,498,18,Thu May 12 16:39:47 +0000 2016,2720,,,
1.19E+18,Fat Junkies of Happy Valley,fat_valley,"State College, PA",BAMBINO (0-2) JIMBO (2-0) PERCH (1-1) HOP (2-0) MURPH (1-1) BON (0-2 ) Intern: REILS (1-1) Overall (7-7),https://t.co/j4ZPvHXaI6,121,356,0,Mon Oct 28 20:20:08 +0000 2019,19,,,
3241967302,The Office,theofficepicts,"Scranton, PA",Quotes and Funny Pictures from NBC's The Office � *In no way affiliated with The Office* parody account,,210353,98,359,Fri May 08 13:50:33 +0000 2015,2983,,,
1.10E+18,jaykay007,jaykay0071,,,,5,37,2,Sun Mar 10 06:33:39 +0000 2019,991,,,
1268184212,MAGA45#,julios1580,,,,194,61,0,Thu Mar 14 22:42:20 +0000 2013,74166,,,
3324561076,ContemporaryWife,bwahadenise,Uganda,The girl that knows she can.,,10365,4465,65,Sun Jun 14 09:10:15 +0000 2015,155769,,,
318199936,Dollar Bill,yung_nd_gifted,,Noketown born and raised ... Father first! Provider/Hustler. We all eat,https://t.co/l0OCQyD7ym,738,952,3,Thu Jun 16 03:34:09 +0000 2011,46632,,,
7.15E+17,Honey B Damico,damico_honey,,,,288,163,16,Wed Mar 30 00:06:10 +0000 2016,51875,,,
1.13E+18,buhera,buhera4,Global,,,45,632,0,Wed May 15 05:17:13 +0000 2019,2429,,,
3298437010,Calligraphy Videos,calligraphytv,"Tempe, AZ",Only the best Calligraphy from artists around the world. Credit to each artist can be found in the comment following the post.,,71004,57,64,Mon May 25 20:14:14 +0000 2015,30221,,,
123065047,EDF Energy,edfenergy,"London, UK",We're the UK's largest producer of low-carbon electricity and we�re leading the change to an electric future. #GenerationElectric. Everyone�s welcome.,https://t.co/M4lEjUy6wC,39531,2657,582,Sun Mar 14 21:48:17 +0000 2010,36815,,,
18466649,percdude,percdude,,#MoreDirect  Enterprise Account Executive #BobcatFamily #TXST,,153,1419,4,Tue Dec 30 02:13:05 +0000 2008,1190,,,
24082825,ed kriger,ekriger,,,,26,117,0,Fri Mar 13 00:25:43 +0000 2009,949,,,
311208161,N-Sci Technologies,nscitech,"Sault Ste. Marie, Ontario","Your Trusted Source for Energy Engineering    -   We are an innovative, Northern Ontario based firm that punches way above our weight class!
#EcoXpert",http://t.co/fGEtaEEBvE,266,1312,6,Sun Jun 05 02:21:11 +0000 2011,1377,,,
8.43E+17,Wise Tech Group Inc.,wisetech_,"Toronto, Ontario",We are an Elite Technology Solutions company operating in the GTA and beyond.  We make Technology Office Solutions & Equipment Procurement easy & affordable!,https://t.co/RaYbYgi8DF,13,131,0,Fri Mar 17 14:14:58 +0000 2017,161,,,
339076717,Andrew Harding,andrewharding4,London UK,"Author: Hybrid Series: Split Decision, Critical Moments, Devil's Dyke, Wet Daddy, Medium Rare. Trilogy: Spirit, Force, Parity. 
HWSNBN Ch1-20  Acc #1 18+ NO DM",http://t.co/BICIkylodQ,15507,16592,542,Wed Jul 20 15:12:24 +0000 2011,426308,,,
15929575,ernmander,ernmander,"Oxfordshire, UK",There are four lights. I created the @AudioMo challenge #AudioMo . I post stuff for @ubports I�m also the creator of @Didcot and @Oxon,https://t.co/Z3VLlHyaQL,2306,1131,228,Thu Aug 21 09:36:56 +0000 2008,185116,,,
2473070484,High Storytime,thetimeigothigh,,Best Weed Account on Twitter. Follow us to be Entertained with the Best High Thoughts and Stories,,279039,133,543,Thu May 01 21:54:50 +0000 2014,2907,,,
114309885,Jessica Rengifo,weepingjessica,San Antonio de los Altos,"raroescucha, whovian, violista, industrial engineering drop out y chocolatera  @chocosarrapia",,1248,4154,34,Sun Feb 14 23:40:25 +0000 2010,93425,,,
2364633848,Patience Burke,tamethegorilla,Tampa Bay,Angry Optimist. Patriot. @Pundico's #1 Fan. Vote like your country depends on it. You can trust me - I watch @cspan. This is my personal account. TV me.,https://t.co/5ygza2gxC4,363,1110,11,Thu Feb 27 20:39:35 +0000 2014,12001,,,
2330451800,Yeomans Eastbourne,toyotae_brne,Eastbourne,"We're online and tweeting Mon-Sat 8.30-18.00 and Sun 10.30-16.00, bringing you local news about Toyota & our centre. Have a query? We'll respond within 24 hours",https://t.co/H05KOdYZJG,323,40,2,Thu Feb 06 15:25:50 +0000 2014,1288,,,
1.01E+18,xxxtentacion,itsxxxwords,,remembering X | Parody Account we do not own content. DM or email xxx@umsocials.com,,73365,46,147,Tue Jun 26 14:44:36 +0000 2018,1709,,,
35244417,Zion Tech Group,ziontechgroup,"-23.507692,-46.590333","Global IT maintenance services, Servers, Storages, Enclosures, Tape Library, Spare Parts, General Consulting",https://t.co/h7gkyMEo5g,873,893,35,Sat Apr 25 16:10:13 +0000 2009,160415,,,
2584522964,sexual gifs,sexualgifs_,,18+ advised // parody // we do not own any content posted,,324936,84,1996,Mon Jun 23 20:07:32 +0000 2014,14525,,,
21303464,Aly-Khan Satchu,alykhansatchu,Nairobi,http://t.co/3L3wWjUeDB Banker Interest rate Macro Geopolitical Africa that kind of thing,http://t.co/3L3wWjUeDB,562971,18091,807,Thu Feb 19 14:43:40 +0000 2009,342076,,,
339076717,Andrew Harding,andrewharding4,London UK,"Author: Hybrid Series: Split Decision, Critical Moments, Devil's Dyke, Wet Daddy, Medium Rare. Trilogy: Spirit, Force, Parity. 
HWSNBN Ch1-20  Acc #1 18+ NO DM",http://t.co/BICIkylodQ,15507,16592,542,Wed Jul 20 15:12:24 +0000 2011,426309,,,
9.49E+17,Joey Francilus,jfrancilus,Miami � New York,"Communications @ACLUFL. Journalism formerly for @HuffPost, @DJNF, @ABC, @WSJ, @Politico, etc. Athlete. Views are mine. https://t.co/fwZ9eQUq1O",https://t.co/hH8rP3l5FA,441,260,6,Sat Jan 06 02:37:45 +0000 2018,9365,,,
9.53E+17,Porsche Sutton Coldfield,porsche_sutton,"West Midlands, England",Official handle of Porsche Centre Sutton Coldfield. Part of the @StratstoneUK group.,https://t.co/rZaGVltzDh,419,463,4,Mon Jan 15 16:21:08 +0000 2018,483,,,
54133021,Rashid Shamim,rashidshamim,Dubai,go straight ... turn right,https://t.co/FBS2kW8aHk,591,738,63,Mon Jul 06 06:04:33 +0000 2009,11843,,,
8.15E+17,Havastu,havsenergiman,,"En �k�nd haussare inom gr�n energi.

Satsar p� aktier i bulltrend.

MVH",,313,58,3,Fri Dec 30 18:30:39 +0000 2016,7133,,,
280592005,marc mc gown,outerspacemanii,United States of America,disabled war veteran,,2450,2628,172,Mon Apr 11 16:51:17 +0000 2011,102262,,,
280592005,marc mc gown,outerspacemanii,United States of America,disabled war veteran,,2450,2628,172,Mon Apr 11 16:51:17 +0000 2011,102263,,,
1.16E+18,Anastacia,anastac72674658,,I hate Twitter,,3,15,0,Sun Jul 28 01:24:53 +0000 2019,1181,,,
7.92E+17,Jimi Cox,cox_jimi,,,,169,245,0,Fri Oct 28 07:43:44 +0000 2016,3760,,,
8.62E+17,hardworkrr12,hardworkrr12,"Orange, CA",I'm a guy who makes videos about stuff on YouTube.,https://t.co/c2NNBobmtj,21,219,0,Tue May 09 13:53:03 +0000 2017,1629,,,
7.04E+17,sachin kelkar,petronerd54,Indore,"20 | Deep thinker |  x engineer @pravegaracing 
Interests span across aerospace eng, motor sports, mechanical movement & cosmology.",,45,125,0,Mon Feb 29 05:20:03 +0000 2016,957,,,
9.66E+17,Drive Change. Drive Electric.,driveelectricus,,We're here to get you charged up and informed about electric car ownership. Come drive with us. #DestinationElectric,https://t.co/tQNQ02icMO,300,169,7,Tue Feb 20 20:50:39 +0000 2018,174,,,
285603076,Derek T McKinney,derektmckinney,Here and Now,Developer of things. Creator of the Finding Your Identity Podcast. https://t.co/hLYmAB7GYA,https://t.co/5gIpGvfyYJ,10688,635,53,Thu Apr 21 13:16:01 +0000 2011,190533,,,
1604426684,Rafael,thegod0fspeed,Central City,"Gamer on @PlayStation ,willing to play @Xbox and/or #PC if they're exclusives. #GTAV #Injustice2 #SpiderManPS4 Anime #DBZ #SAO #RWBY & DCTv ex. @CW_TheFlash",,577,1163,9,Thu Jul 18 21:51:35 +0000 2013,86423,,,
275114861,Mr King Ceo,mr_king_ceo,France,"Voler n'est pas bon.
Uh Ah Ah",,1050,457,84,Thu Mar 31 17:15:00 +0000 2011,347517,,,
122675731,Rogerio,rogeriolstival,curitiba Pr Brasil,Sou Louco,http://t.co/mr6nfK6RW7,53,187,8,Sat Mar 13 14:10:05 +0000 2010,11651,,,
743487476,Karen Fachechi,duranvlawson,"Cambridge ,UK","Car enthusiast who also loves to listen to music (a wide range!)going to gigs,motor racing: BTCC, Blancpain GT,Ginetta,etc, travelling (especially to Italy).",,111,455,4,Tue Aug 07 18:42:19 +0000 2012,1608,,,
8.94E+17,Jamie Carre,carrejamie,,,,21,260,0,Sat Aug 05 18:09:18 +0000 2017,5539,,,
708371676,Starfire,secrettime18,Team Mystic ,"""Michael is gone, Tupac is gone, Whitney is gone, Prince is gone, Amy is gone, Bowie is gone...and I'm still standing."" - Me",,934,1721,52,Sat Jul 21 04:45:15 +0000 2012,281805,,,
1.11E+18,Centrum,centrum41744522,"City of London, London","Life is like a coin, you can spend it anyway you want but you can only spend it once.",,40,213,0,Tue Apr 02 13:19:46 +0000 2019,3357,,,
8.84E+17,Dank Memes,dankneme,,we do not own any content | parody account,,72778,70,188,Mon Jul 10 14:02:51 +0000 2017,1125,,,
2862241190,droom,letsdroom,gurgaon/california,"Droom.in - easy, quick & trusted way to Buy and Sell Automobiles. Visit droom.in or download the Android and iOS apps, and get that �feeling nayi waali�!",https://t.co/KjzGlUmta7,102380,497,97,Sat Oct 18 09:20:45 +0000 2014,8572,,,
1.05E+18,MZILAKAWULANDELWA,mkhululidubegm1,Africa is my Home,"Different from the Rest, Logistics,Imports and Exports, Small scale farmer, Monetize the Revolution",,405,714,1,Wed Oct 17 17:37:07 +0000 2018,16302,,,
7.64E+17,Koch vs. Clean,kochvsclean,,Researching and exposing Koch's campaign to kill the electric car and squash clean energy solutions.,https://t.co/AA6lMAE3eh,3922,4037,40,Thu Aug 11 01:12:42 +0000 2016,851,,,
35748736,Oddly Pleasing,oddlypieasing,Washington DC,The most pleasing videos brought to your timeline.,https://t.co/CAi6ptigio,93943,67,567,Mon Apr 27 14:05:59 +0000 2009,92,,,
8.55E+17,World of Blog,worldofblog,,,,25,353,0,Thu Apr 20 14:21:52 +0000 2017,2753,,,
7.59E+17,Orange Book Value,orangebookvalue,India,Orange Book Value is India's first and only algorithmic pricing engine that suggests the Fair Market Price for any used vehicle in 10 seconds.,https://t.co/06gxjvg4aI,55317,320,13,Sat Jul 30 08:08:20 +0000 2016,1139,,,
339076717,Andrew Harding,andrewharding4,London UK,"Author: Hybrid Series: Split Decision, Critical Moments, Devil's Dyke, Wet Daddy, Medium Rare. Trilogy: Spirit, Force, Parity. 
HWSNBN Ch1-20  Acc #1 18+ NO DM",http://t.co/BICIkylodQ,15507,16592,542,Wed Jul 20 15:12:24 +0000 2011,426310,,,
718662207,kedir Ali,itismekedir,,,,128,448,4,Thu Oct 17 07:13:26 +0000 2013,1100,,,
8.67E+17,Deep quotes,deep_quo,Worldwide,"can't you medicate a broken heart?
make your tragedies a work of art.",,147762,504,355,Wed May 24 16:55:01 +0000 2017,106,,,
7.44E+17,Michael Stevenson,mikeastevo,,,,82,113,6,Fri Jun 17 21:16:23 +0000 2016,3843,,,
8.23E+17,David M. Lewin,dmlewinchicago,Once and future Chicago guy,"Personal Twitter of Dave Lewin. A moderate view of Chicago, Springfield and D.C. politics and not so moderate views of Arsenal football and Scuderia Ferrari F1.",,131,921,3,Sun Jan 22 15:21:12 +0000 2017,1108,,,
8.27E+17,HectorSwiss,hector88037748,"Harare, Zimbabwe",,,20,71,0,Wed Feb 01 10:33:55 +0000 2017,57,,,
3241967302,The Office,theofficepicts,"Scranton, PA",Quotes and Funny Pictures from NBC's The Office � *In no way affiliated with The Office* parody account,,210353,98,359,Fri May 08 13:50:33 +0000 2015,2983,,,
40446703,Scott Deatherage,scottdeatherage,"Dallas, Texas, USA","Attorney and entrepreneur in environment, energy, climate, and water.  working on blockchain, AI and renewable energy to produce cheaper, cleaner power.",https://t.co/XmRe8uBzuR,2330,1252,52,Sat May 16 11:07:25 +0000 2009,7393,,,
42811690,voyage vixen,voyagevixen,"Calgary, Canada","Community builder, vegan, traveller, arts lover. 'Unless someone like you cares a whole awful lot, nothing is going to get better. It's not.' - Dr. Seuss",https://t.co/3xk35FGk9v,2188,3157,154,Wed May 27 04:07:36 +0000 2009,30217,,,
9.21E+17,Nii Narh Djondo,mrdjondo,I'm Here,Cars & Castles,,982,1893,1,Thu Oct 19 15:27:04 +0000 2017,3935,,,
169000963,Bioethanolverband,bdbeberlin,"Berlin, Germany",German #Bioethanol Industry Assoc. w/ producers of certified #Sustainable #Ethanol 4 #Transport #Racing #Beverage #Chemicals #Feed #Biomethane,https://t.co/2PBDyg5gmi,2499,2483,101,Wed Jul 21 08:40:13 +0000 2010,3617,,,
1.07E+18,caffeine goat,k_friki,,"hawaiian pizza is the only pizza that matters
(Furry artist, hobbyist, mixed media, don't reupload or use my art without seeking my permission first, thanks)",,23,69,1,Sun Dec 02 15:23:57 +0000 2018,7444,,,
339076717,Andrew Harding,andrewharding4,London UK,"Author: Hybrid Series: Split Decision, Critical Moments, Devil's Dyke, Wet Daddy, Medium Rare. Trilogy: Spirit, Force, Parity. 
HWSNBN Ch1-20  Acc #1 18+ NO DM",http://t.co/BICIkylodQ,15507,16592,542,Wed Jul 20 15:12:24 +0000 2011,426311,,,
24755557,kirsten graham,kirstengraham,"Armonk, NY","New England native, now a New Yorker. IBMer. Mom. I tweet about @IBM, science, things I find funny, sports, sometimes politics, @Cornell. My views are my own.",,3506,1494,450,Mon Mar 16 19:50:59 +0000 2009,33483,,,
9.76E+17,Dogs test toys,dogsttoys,"North Brabant, The Netherlands",Test toys you can find on YouTube. Just dogstesttoys or dogsttoys profile. Enjoy.,,3,71,0,Mon Mar 19 19:49:50 +0000 2018,181,,,
2330256016,Noel Mucyo,mucyonm,,"Whoever is first in the field and awaits the coming of the enemy, will be fresh for the fight. Sun Tzu",,254,1643,4,Fri Feb 07 15:03:42 +0000 2014,941,,,
15024212,prasanth_p,prasanth_p,Thiruvananthapuram,I know little more than bits and bytes. Founder @megaexams,,1005,326,43,Thu Jun 05 22:18:12 +0000 2008,6684,,,
51103634,Eric Host,ericjhost,"Grand Rapids, MI","Father, Friend",,119,157,3,Fri Jun 26 15:39:04 +0000 2009,147,,,
